Fecha,Producto,Región,Ventas
2024-05-02,A,Norte,327
2023-12-15,B,Norte,285
2023-11-09,A,Norte,470
2023-09-28,B,Este,129
2023-08-01,C,Norte,141
2023-08-18,C,Centro,149
2023-05-08,D,Sur,237
2023-03-21,D,Sur,265
2023-12-20,B,Sur,283
2023-12-20,D,Este,358
2024-12-31,D,Centro,503
2024-05-28,D,Centro,236
2023-10-13,D,Este,262
2023-12-07,D,Sur,357
2024-04-17,B,Norte,348
2024-07-21,B,Este,244
2023-08-23,D,Oeste,181
2024-07-04,A,Este,180
2023-09-08,C,Norte,192
2024-11-09,A,Sur,227
2023-08-10,C,Sur,129
2024-08-01,D,Este,112
2024-06-19,C,Norte,165
2024-01-11,C,Sur,219
2023-08-16,A,Oeste,189
2023-09-18,A,Oeste,162
2024-01-20,B,Sur,109
2024-11-30,D,Este,379
2023-10-26,D,Norte,145
2023-09-07,A,Este,131
2024-10-12,A,Norte,325
2023-01-27,B,Sur,233
2023-11-21,A,Oeste,265
2024-08-12,D,Norte,117
2023-12-29,A,Norte,267
2024-02-08,A,Oeste,217
2023-12-30,B,Centro,497
2024-09-09,D,Sur,194
2023-03-30,C,Centro,422
2024-05-06,B,Centro,143
2024-06-19,A,Centro,200
2024-01-17,A,Oeste,148
2024-12-21,A,Este,495
2024-12-29,D,Este,345
2024-03-31,B,Centro,315
2023-08-01,B,Sur,226
2024-07-01,B,Norte,118
2023-10-27,D,Centro,338
2024-12-16,D,Este,322
2024-11-01,A,Sur,154
2023-03-28,B,Sur,118
2023-04-30,D,Sur,138
2024-06-14,D,Oeste,97
2024-10-11,A,Centro,168
2023-04-04,A,Centro,392
2023-09-12,C,Centro,193
2024-04-30,C,Norte,190
2023-11-24,B,Oeste,330
2023-04-21,D,Este,349
2023-11-21,D,Oeste,297
2023-12-08,D,Este,367
2024-12-16,D,Norte,277
2023-01-08,B,Centro,200
2024-10-06,A,Norte,249
2024-05-04,C,Norte,147
2023-03-10,D,Sur,294
2023-01-04,C,Centro,212
2023-11-16,C,Sur,160
2024-12-06,C,Norte,401
2023-11-13,A,Este,229
2023-03-11,B,Centro,382
2024-01-03,C,Centro,137
2024-06-02,C,Oeste,113
2024-09-05,C,Oeste,153
2023-03-02,B,Este,141
2023-05-29,B,Este,143
2024-09-24,A,Oeste,102
2024-03-31,C,Este,126
2024-10-17,C,Oeste,169
2023-07-25,A,Centro,354
2023-03-28,D,Sur,295
2024-02-07,B,Norte,227
2023-10-08,A,Centro,321
2023-05-26,A,Oeste,258
2023-08-27,C,Sur,188
2024-02-05,C,Este,281
2024-04-07,C,Oeste,298
2024-02-20,D,Este,110
2024-10-24,B,Centro,278
2024-01-25,C,Sur,125
2024-09-09,D,Este,236
2024-09-12,C,Este,98
2024-06-12,C,Este,193
2023-10-18,D,Este,119
2023-03-28,C,Centro,395
2024-11-13,B,Norte,175
2024-11-20,A,Norte,417
2023-08-15,B,Sur,149
2024-01-20,C,Este,101
2023-03-18,A,Norte,183
2023-11-24,B,Oeste,151
2023-03-11,C,Centro,198
2023-05-17,D,Centro,341
2024-04-08,C,Sur,298
2024-07-31,B,Centro,305
2024-04-30,B,Este,303
2024-07-02,A,Centro,303
2023-12-06,A,Oeste,270
2024-08-20,B,Sur,252
2023-04-04,D,Este,294
2024-08-08,A,Centro,198
2023-10-24,A,Norte,301
2023-08-27,D,Norte,271
2023-01-28,C,Este,203
2024-01-08,D,Sur,262
2024-09-19,C,Sur,113
2024-05-24,C,Este,141
2023-04-09,C,Norte,163
2024-07-24,C,Sur,165
2024-07-09,B,Este,191
2023-01-09,D,Centro,146
2023-12-23,C,Oeste,390
2023-09-17,A,Este,112
2024-04-01,B,Este,135
2023-09-23,D,Centro,177
2023-01-20,D,Centro,370
2024-04-25,B,Centro,390
2024-11-18,C,Norte,381
2024-10-25,B,Sur,232
2023-11-10,B,Este,214
2023-03-29,B,Este,180
2024-08-08,C,Este,247
2024-07-30,A,Centro,373
2024-06-07,C,Norte,207
2024-04-21,D,Norte,225
2023-10-10,C,Sur,113
2024-01-24,A,Este,211
2024-09-21,D,Oeste,120
2024-09-11,A,Centro,310
2023-01-17,B,Centro,219
2024-07-09,C,Oeste,211
2024-11-07,C,Centro,211
2023-02-26,D,Este,297
2023-01-24,A,Sur,269
2024-05-11,C,Norte,285
2024-05-11,C,Centro,163
2023-11-25,C,Centro,314
2024-11-18,B,Oeste,417
2024-03-18,D,Este,271
2024-06-10,C,Norte,110
2024-07-28,B,Oeste,151
2023-06-24,D,Centro,239
2024-01-08,D,Oeste,246
2023-12-28,D,Sur,286
2023-03-30,C,Oeste,192
2024-03-21,C,Centro,323
2023-04-05,A,Sur,257
2024-12-17,D,Oeste,357
2024-04-08,D,Sur,266
2023-04-07,C,Oeste,247
2023-07-01,B,Norte,185
2023-05-19,D,Oeste,133
2023-03-10,D,Sur,232
2023-08-18,D,Oeste,159
2023-07-08,A,Centro,148
2023-02-27,A,Norte,182
2024-02-21,C,Oeste,267
2023-01-08,D,Oeste,146
2023-11-20,C,Oeste,266
2023-02-10,C,Sur,106
2023-10-11,D,Oeste,227
2024-12-09,D,Sur,324
2023-01-09,D,Oeste,200
2023-12-18,C,Centro,201
2023-08-04,A,Sur,245
2023-08-23,D,Oeste,267
2023-02-22,B,Este,188
2023-12-16,D,Centro,202
2024-08-05,B,Norte,110
2024-12-22,D,Este,192
2023-06-15,A,Centro,140
2023-03-18,A,Centro,509
2023-02-07,A,Este,326
2023-06-03,D,Oeste,218
2023-03-28,C,Sur,159
2024-02-17,B,Norte,285
2023-08-03,B,Este,172
2024-04-21,D,Centro,196
2024-02-27,D,Oeste,167
2024-01-02,A,Oeste,261
2024-06-11,B,Oeste,150
2024-05-28,B,Sur,95
2024-05-01,B,Sur,229
2023-05-10,A,Sur,198
2023-08-21,A,Oeste,189
2023-12-26,C,Sur,166
2023-08-24,D,Sur,223
2023-04-19,B,Oeste,196
2024-11-11,A,Norte,353
2024-07-28,A,Oeste,270
2024-02-10,C,Este,95
2023-01-23,A,Norte,283
2023-09-19,B,Norte,220
2024-06-11,A,Norte,207
2024-04-09,B,Sur,255
2023-07-16,D,Este,291
2023-04-02,A,Centro,298
2023-10-09,D,Oeste,113
2024-06-21,C,Sur,112
2023-04-03,A,Este,335
2024-10-11,A,Este,221
2023-10-06,B,Este,160
2023-06-02,A,Centro,213
2024-03-08,A,Este,274
2023-03-24,A,Sur,149
2023-04-15,A,Centro,298
2023-09-18,C,Este,118
2023-12-25,C,Centro,383
2023-09-30,B,Norte,236
2023-11-11,A,Este,199
2023-03-02,B,Sur,168
2024-07-14,D,Este,213
2023-03-24,A,Este,223
2023-09-22,A,Centro,121
2023-03-18,C,Este,245
2024-01-03,B,Centro,144
2024-02-07,B,Centro,256
2024-06-25,B,Sur,119
2024-05-28,A,Sur,114
2023-06-08,D,Sur,149
2023-11-12,D,Centro,195
2023-08-13,B,Sur,141
2023-07-25,D,Este,253
2023-04-03,B,Este,303
2023-07-13,C,Norte,105
2024-02-20,B,Oeste,198
2023-06-04,C,Norte,81
2024-04-08,A,Norte,163
2023-04-01,B,Centro,414
2024-05-04,A,Centro,207
2024-04-17,D,Oeste,128
2023-02-22,A,Norte,272
2024-08-07,D,Este,107
2024-08-24,D,Oeste,100
2023-01-24,D,Oeste,244
2024-09-01,D,Este,231
2024-06-06,C,Sur,106
2024-06-21,B,Centro,182
2024-10-22,A,Este,122
2023-11-05,D,Sur,314
2023-12-11,A,Este,298
2023-09-20,C,Este,98
2024-12-19,D,Sur,388
2023-07-11,D,Este,191
2024-07-30,C,Norte,209
2024-05-17,C,Este,172
2023-06-08,A,Este,151
2023-04-12,A,Centro,459
2024-12-25,B,Sur,278
2024-06-23,C,Sur,180
2023-09-16,B,Norte,160
2023-02-06,D,Centro,366
2023-05-29,D,Centro,240
2024-04-26,A,Norte,356
2023-04-12,D,Centro,297
2023-08-27,C,Centro,337
2024-07-02,B,Este,257
2023-01-18,A,Oeste,129
2024-10-14,B,Sur,263
2023-03-20,B,Norte,322
2024-12-28,D,Oeste,294
2024-02-02,A,Centro,333
2023-06-25,C,Este,126
2024-02-14,B,Oeste,201
2023-07-02,B,Oeste,261
2023-02-21,C,Oeste,221
2023-02-20,C,Este,168
2024-11-14,A,Este,188
2024-09-20,D,Oeste,136
2024-11-02,A,Sur,172
2024-11-21,B,Norte,390
2023-08-20,C,Sur,129
2023-03-25,B,Sur,181
2023-09-01,C,Oeste,137
2023-12-20,C,Centro,337
2023-10-31,D,Este,245
2024-03-07,B,Oeste,312
2023-03-01,B,Norte,232
2024-09-30,B,Oeste,122
2023-02-04,D,Norte,112
2023-07-26,B,Oeste,180
2023-12-12,A,Este,249
2024-03-01,A,Norte,141
2023-04-14,B,Centro,349
2024-03-06,C,Este,283
2024-10-22,D,Oeste,298
2023-03-17,B,Este,267
2024-11-05,B,Centro,417
2024-07-06,D,Este,103
2024-01-02,D,Oeste,298
2024-03-23,A,Centro,415
2023-02-03,B,Este,298
2023-03-06,B,Sur,278
2024-05-29,A,Sur,219
2023-02-19,C,Oeste,97
2024-06-18,C,Este,103
2023-07-06,C,Sur,129
2023-12-30,B,Norte,294
2024-09-28,A,Centro,200
2024-07-04,D,Este,122
2024-04-05,C,Sur,171
2023-04-30,C,Sur,156
2024-07-29,D,Centro,258
2024-10-28,B,Sur,119
2023-04-16,C,Centro,195
2023-04-13,C,Este,263
2024-08-27,A,Oeste,179
2023-11-06,C,Oeste,225
2024-03-20,A,Norte,182
2023-08-04,B,Oeste,247
2024-08-30,A,Centro,426
2023-08-12,B,Este,277
2024-04-22,D,Norte,334
2023-02-23,C,Centro,181
2023-01-15,D,Norte,263
2024-02-08,C,Sur,171
2023-12-02,B,Sur,202
2023-09-21,A,Norte,124
2024-07-07,C,Centro,233
2023-07-17,A,Centro,294
2024-06-25,A,Oeste,154
2024-08-13,D,Este,279
2024-02-19,A,Este,130
2023-02-17,A,Oeste,147
2023-01-20,D,Sur,182
2024-07-28,D,Centro,287
2023-07-24,A,Centro,294
2023-06-15,C,Norte,201
2023-07-24,C,Norte,178
2024-12-01,A,Oeste,491
2023-02-18,C,Este,230
2023-03-30,D,Oeste,140
2024-01-27,B,Oeste,191
2023-02-12,D,Centro,180
2023-04-07,A,Centro,341
2024-11-27,B,Sur,193
2023-05-24,C,Este,181
2023-04-11,B,Norte,139
2023-12-09,A,Oeste,478
2024-01-06,B,Norte,171
2024-01-15,D,Norte,241
2024-11-08,A,Oeste,438
2023-08-31,D,Centro,370
2023-09-16,B,Centro,209
2024-02-20,B,Este,159
2024-12-04,C,Centro,257
2024-07-30,A,Oeste,266
2023-03-29,C,Norte,161
2024-07-20,A,Sur,178
2024-06-11,D,Oeste,188
2024-06-03,B,Este,120
2024-01-27,A,Sur,214
2024-12-24,A,Centro,577
2023-12-04,C,Oeste,420
2024-01-13,A,Este,299
2024-09-25,C,Este,182
2023-09-06,A,Norte,150
2023-09-03,A,Sur,214
2024-11-10,A,Este,285
2023-05-22,C,Sur,94
2023-07-08,A,Norte,291
2024-02-11,B,Norte,253
2023-06-25,A,Sur,104
2023-05-31,D,Sur,261
2023-07-11,D,Norte,205
2023-07-18,C,Centro,339
2024-08-02,C,Centro,317
2024-12-20,A,Oeste,229
2023-01-06,B,Oeste,268
2023-04-23,A,Centro,379
2023-04-25,B,Oeste,296
2024-11-15,C,Centro,439
2024-06-20,A,Sur,123
2023-07-16,D,Sur,231
2023-10-29,B,Sur,150
2023-01-18,C,Este,176
2024-09-22,A,Sur,104
2024-03-06,C,Norte,173
2024-12-05,C,Oeste,408
2024-05-18,D,Este,176
2023-11-23,D,Centro,520
2024-03-30,C,Oeste,269
2024-05-26,B,Oeste,155
2023-11-07,D,Oeste,417
2023-01-11,C,Oeste,177
2024-07-30,D,Norte,221
2023-02-19,D,Norte,176
2024-04-11,C,Centro,376
2023-04-03,A,Este,285
2024-04-08,B,Sur,263
2024-03-09,C,Oeste,212
2023-06-12,C,Este,107
2023-03-23,D,Oeste,129
2024-05-10,A,Oeste,139
2024-02-29,C,Este,194
2024-12-15,C,Centro,316
2024-01-15,A,Este,168
2024-07-29,A,Sur,243
2023-04-19,B,Sur,231
2023-08-05,D,Norte,255
2023-08-14,C,Este,168
2023-05-16,D,Centro,250
2023-02-23,B,Norte,203
2023-02-03,D,Sur,203
2024-04-28,D,Oeste,192
2023-04-20,A,Oeste,287
2024-04-04,D,Centro,166
2023-06-10,B,Oeste,107
2024-02-26,D,Norte,274
2024-11-14,C,Sur,212
2024-04-30,A,Este,232
2023-07-24,A,Sur,211
2024-05-25,A,Oeste,326
2024-06-25,D,Centro,149
2023-05-21,C,Norte,113
2024-11-29,C,Centro,348
2024-12-27,C,Norte,276
2023-10-17,A,Este,134
2023-02-10,C,Este,199
2023-01-25,C,Norte,165
2023-10-16,A,Este,279
2023-11-24,C,Norte,354
2023-03-17,A,Este,330
2024-02-18,C,Oeste,147
2023-10-26,D,Norte,292
2024-12-05,A,Oeste,409
2024-01-10,A,Norte,324
2024-11-10,D,Oeste,336
2024-02-26,A,Oeste,297
2023-07-21,A,Oeste,178
2023-04-09,D,Este,139
2023-12-23,D,Sur,330
2023-08-28,C,Este,252
2023-03-19,C,Oeste,172
2024-11-04,B,Oeste,183
2023-01-22,D,Este,203
2023-09-25,A,Oeste,95
2023-11-30,A,Sur,246
2023-11-24,B,Norte,291
2024-02-01,A,Sur,256
2023-01-08,B,Sur,216
2024-12-17,A,Este,470
2023-12-02,C,Sur,178
2024-06-25,A,Este,126
2024-09-26,C,Centro,136
2024-01-26,A,Sur,162
2024-01-05,B,Sur,217
2024-05-21,D,Sur,233
2024-09-02,D,Norte,141
2023-09-19,C,Norte,158
2023-05-11,D,Sur,166
2023-12-27,A,Centro,465
2023-08-10,C,Sur,95
2023-12-03,D,Norte,240
2023-06-15,D,Centro,168
2024-03-17,A,Norte,353
2023-05-22,A,Sur,147
2023-12-09,A,Sur,331
2023-07-19,A,Este,166
2023-01-09,B,Centro,170
2024-06-17,A,Sur,187
2024-10-16,D,Norte,257
2023-06-01,A,Oeste,168
2024-05-26,C,Este,118
2024-12-31,A,Este,212
2024-07-28,A,Oeste,231
2023-05-06,D,Sur,200
2024-07-13,A,Norte,209
2024-09-03,A,Centro,255
2024-12-30,C,Oeste,289
2023-04-24,A,Este,207
2023-07-12,A,Centro,218
2024-05-20,B,Sur,153
2023-05-10,B,Sur,106
2023-06-03,D,Centro,140
2024-03-18,C,Este,254
2023-12-28,D,Oeste,303
2023-07-13,A,Este,166
2024-06-28,C,Centro,228
2023-05-21,D,Sur,181
2024-09-03,A,Sur,146
2024-12-01,B,Centro,442
2023-02-12,C,Este,187
2023-10-17,C,Norte,124
2024-08-18,B,Sur,245
2023-12-16,C,Centro,396
2024-10-19,C,Oeste,152
2024-05-22,C,Este,151
2023-05-28,B,Centro,345
2024-11-18,D,Oeste,177
2023-11-13,A,Sur,329
2024-05-15,C,Centro,156
2024-11-08,C,Este,262
2023-11-21,C,Oeste,186
2024-02-13,D,Sur,101
2024-12-17,D,Centro,333
2023-05-15,C,Oeste,135
2023-01-16,C,Norte,274
2024-02-06,C,Centro,350
2023-05-15,C,Oeste,133
2024-04-09,C,Oeste,142
2024-08-13,A,Sur,119
2024-10-05,D,Sur,225
2023-05-27,D,Sur,140
2023-10-30,A,Centro,304
2023-08-08,B,Este,145
2024-01-13,C,Norte,221
2024-10-06,A,Sur,264
2024-10-14,C,Sur,157
2023-08-14,A,Este,133
2024-10-31,A,Norte,111
2023-07-28,B,Este,234
2023-11-20,A,Este,460
2023-03-29,C,Sur,283
2023-10-31,C,Norte,277
2023-05-23,D,Oeste,141
2023-02-28,D,Sur,162
2023-06-29,D,Norte,99
2023-10-30,A,Sur,130
2023-01-15,C,Oeste,249
2024-06-29,B,Norte,214
2023-10-26,D,Centro,195
2024-07-21,B,Centro,331
2023-06-30,B,Norte,137
2023-04-06,C,Este,311
2023-02-20,C,Sur,87
2023-12-24,C,Norte,168
2024-04-30,C,Oeste,316
2024-08-31,C,Este,105
2024-01-05,D,Este,152
2023-03-06,B,Norte,220
2024-02-06,C,Oeste,152
2024-12-26,A,Norte,381
2023-01-22,A,Centro,280
2024-03-03,D,Oeste,336
2024-06-10,D,Sur,203
2024-06-08,D,Este,109
2023-05-09,B,Centro,215
2024-07-10,D,Norte,139
2024-10-19,B,Sur,158
2023-11-16,A,Sur,341
2023-01-17,A,Norte,194
2024-04-01,A,Este,310
2023-10-11,C,Oeste,247
2024-08-03,C,Centro,206
2024-04-17,D,Centro,198
2024-06-27,D,Oeste,176
2024-07-11,A,Este,240
2023-09-12,C,Sur,119
2023-11-30,C,Norte,357
